RID,Capacity,Price,long,lat,rent
46,3,1657588.49,114.2676535,22.58962665,17039
47,8,2243422.74,114.1227205,22.55684904,20235
48,7,2109178.142,114.0433814,22.56069812,21797
49,1,2178731.418,113.9485411,22.5778338,20709
50,20,3033228.874,114.0163238,22.53727597,31347
51,12,1687769.651,114.063623,22.64649434,19305
52,10,3203276.79,113.9049729,22.51545518,30446
53,2,952822.6848,114.1258456,22.70170658,10898
54,26,1165999.126,114.3871403,22.71081409,12601
55,46,1859884.491,113.8361658,22.64005263,18889
56,2,1150515.915,113.8419877,22.76843068,11685
57,6,2330156.914,114.0403301,22.5338741,24080
58,7,1344765.65,114.2264621,22.55204742,13823
59,1,899120.9232,114.2483577,22.72462565,10284
60,10,3275113.38,113.8827845,22.49341304,31129
61,5,2826994.348,114.0517272,22.51506048,29214
62,6,2590566.363,113.9133121,22.52485428,24623
63,20,1256835.534,114.3298608,22.67928296,13583
64,16,2178084.357,114.0320802,22.60541612,24193
65,32,1399294.017,114.1376337,22.62364727,16005
66,8,1371952.79,114.2542881,22.59192917,14102
67,5,840816.1535,114.296628,22.77622703,9617
68,7,2086886.292,114.0890018,22.5398657,21566
69,9,3131464.817,113.9970249,22.59258247,29764
70,15,1882249.807,113.8829829,22.56603833,19118
71,1,1803629.442,114.1381004,22.54593566,16268
72,6,2609292.786,113.9147203,22.53618533,24802
73,2,2417889.556,114.0821844,22.57725959,21808
74,3,2068489.005,114.0661372,22.53257542,21377
75,4,850022.1697,114.2023,22.65179365,9722
76,2,1731696.651,114.1103547,22.53694276,15619
77,4,1120065.314,114.2232146,22.68026417,12811
78,41,1779728.244,113.8579814,22.62330717,18077
79,29,1653505.13,113.8282306,22.78595423,16794
80,7,1421994.227,113.9866183,22.67391637,15794
81,3,1052275.728,114.0407151,22.71409815,11688
82,81,2530785.083,113.8505256,22.57003332,25704
83,21,1508917.213,114.2302536,22.70924145,17259
84,15,1756814.773,114.0661529,22.61863264,20094
85,3,2652636.274,113.9272117,22.5017876,25212
86,3,3514281.468,113.9845005,22.54563949,33403
87,4,2067658.773,114.133031,22.58758116,18649
88,2,2904152.57,114.1034408,22.56883008,26194
89,25,1185782.82,113.8295056,22.71524041,12043
90,1,4542101.091,113.9584741,22.52832046,43171
91,5,1258155.558,114.1064578,22.63062554,14391
92,40,1329860.196,114.2258562,22.75410679,15211
93,61,4541011.579,114.0090737,22.63994719,50439
94,18,2798651.835,114.0908567,22.56083649,28922
95,10,2859788.39,114.0232271,22.62488194,31765
96,12,3289915.898,113.9131014,22.50435826,31270
97,0,1868032.171,114.0372803,22.52318621,19305
98,15,1761531.125,114.104805,22.59048458,15888
99,9,3218880.329,114.1227546,22.56353637,29034
100,4,2769550.25,113.9037457,22.59445806,28129
101,2,1966397.424,113.9572051,22.59681871,18690
102,23,2738708.027,113.8697869,22.56524438,27817
103,3,2924319.453,114.0402733,22.54695267,30220
104,3,1778394.089,114.1457116,22.55421814,16040
105,77,1510473.868,114.0424233,22.68753666,16778
106,1,1841203.256,114.257763,22.69628148,21060
107,3,2298243.125,114.076109,22.53629136,23751
108,8,1674078.856,114.062123,22.5503731,17301
109,14,2102602.05,113.8915523,22.56941087,21356
110,6,649527.4078,114.3900155,22.74441126,7020
111,3,3454161.305,114.0165299,22.55687107,35698
112,7,1127767.821,114.017922,22.73325281,12527
113,18,1330780.798,114.1234008,22.62789153,15222
114,18,1467269.65,114.0532281,22.63081847,16783
115,11,1852748.272,114.0684466,22.57172139,19148
116,1,2191899.9,114.1298549,22.55264981,19771
117,17,2694352.211,113.9620102,22.54446133,25611
118,11,1451481.9,114.1538611,22.60964201,16603
119,11,1618608.621,114.2154046,22.5589463,16639
120,5,2645812.839,114.0340147,22.57037079,27344
121,15,1764486.453,114.0830801,22.63255927,20184
122,20,1016753.353,114.121452,22.60815958,11630
123,1,638283.7953,114.2756256,22.75022902,7301
124,40,1348681.385,114.1757151,22.6364007,15427
125,1,2621863.232,113.9172828,22.49908362,24923
126,14,945335.1249,114.3084143,22.69174742,10813
127,7,3621679.386,113.9419285,22.55326824,34427
128,4,851816.7746,114.1078266,22.5959355,9744
129,2,2649209.261,114.0377195,22.55782833,27380
130,14,1150752.035,114.2403567,22.74206046,13163
131,20,2402355.699,113.979472,22.5621445,22837
132,33,1980284.375,114.058055,22.69512613,21998
