OBs-ID,x-coordinate,y-coordinate,ob-price,capacity
367, 114.0980655, 22.60877089, 717318.1424906249, 1
43, 113.8086998, 22.76195894, 969682.9263515624, 1
446, 114.129943, 22.58690043, 870662, 0
953, 114.3031337, 22.6052126, 1051872, 0
679, 113.9486925, 22.78265274, 418397.3731397792, 0
415, 113.9138098, 22.56441558, 865004.8359087138, 2
287, 114.3648628, 22.70474565, 801780, 0
937, 113.9032438, 22.72744574, 1485760, -2
741, 113.9588159, 22.69329109, 212127.59183865154, 1
196, 113.8942223, 22.47161056, 1133028, 0
496, 113.8383081, 22.81741923, 543024.4670422476, 0
68, 113.8276875, 22.72981511, 986400, 0
488, 113.8761848, 22.79295095, 531765, -1
681, 113.8982954, 22.70779894, 758243.4535361791, 1
483, 114.0491343, 22.73364824, 787925.8372989219, 1
319, 114.0648785, 22.66256822, 1930042.597138425, 3
30, 113.9066391, 22.487531, 519907.271650196, 1
751, 114.0552492, 22.71411879, 722986.8288691273, 1
240, 113.8851632, 22.72061152, 1712763.3599999999, -9
573, 114.0621397, 22.54992919, 903720, -2
820, 114.4206344, 22.64119686, 222352.68580351037, 1
134, 114.3122933, 22.69246974, 1116224, -5
326, 113.9754926, 22.68904289, 941160, -4
300, 114.1717413, 22.56394335, 1166812, -2
754, 114.0537597, 22.57958843, 972864, -3
848, 114.2829847, 22.67126173, 611928, -1
229, 114.5022922, 22.59605766, 440077.3183487265, 1
829, 114.3486816, 22.70118929, 1152096, -1
89, 113.884839, 22.81101354, 769536, 0
967, 113.8603881, 22.78971246, 698717, 0
926, 114.1319441, 22.68526033, 579129.5019522005, 1
824, 113.8604372, 22.58680986, 684852.0757351567, 1
132, 113.9805994, 22.70188376, 7498095.536918868, -17
508, 113.9451137, 22.52123953, 233381.50520640917, 2
398, 113.8064836, 22.69279451, 860868, -9
124, 114.2876146, 22.70174801, 659600, -2
745, 113.8464076, 22.74194233, 521504, 0
337, 114.1134928, 22.53948341, 492074.3484608188, 2
371, 113.7972473, 22.68207025, 400375.0024419804, 2
212, 114.0321665, 22.71384223, 1402041, -1
3, 114.1161173, 22.59930781, 744980, -3
966, 114.0994253, 22.61636306, 383857.24747500004, 1
487, 114.132336, 22.54514773, 832086, -1
9, 113.9082934, 22.5348752, 877268, 0
379, 114.1306793, 22.70066274, 8012614.4703, 3
86, 113.7904493, 22.70026312, 237913.8427234203, 1
522, 114.0401448, 22.56528493, 382281.56096492003, 0
149, 114.2717263, 22.58856211, 514192, -2
644, 114.0643681, 22.62765762, 652140, 0
678, 114.4142507, 22.63855059, 935226, 0
408, 114.2455148, 22.5868276, 268297.6755630789, 1
964, 113.8978583, 22.79887797, 1251599, -2
718, 113.949178, 22.68319431, 798475.5821683023, 0
294, 114.0110027, 22.5540326, 1247800, 0
891, 114.2191936, 22.6864041, 515165.94920074096, 2
931, 113.9883071, 22.5473325, 1027106, -1
383, 114.3077843, 22.77649766, 994868, -4
183, 114.2923767, 22.7796408, 369936.204014764, 2
474, 114.1674935, 22.56881687, 1263015, -1
145, 113.9158069, 22.73178047, 557357.0318937361, 2
59, 113.9439491, 22.77869306, 545940, -1
843, 114.2922773, 22.5831055, 227420.60128859992, 1
507, 114.1116317, 22.71088623, 299165.82288391097, 1
717, 114.1186904, 22.62107604, 324341.7873548222, 0
416, 113.8801476, 22.49715906, 345720.9556834189, 2
433, 113.8394428, 22.80603833, 801966, -1
961, 113.9671992, 22.57073075, 1291248, 0
75, 114.0125466, 22.74553954, 531692.7717302222, 1
202, 114.283724, 22.75135238, 205552.24304983395, 2
