firms-ID,x-coordinate,y-coordinate,capacity,staff,cost
298, 113.9152116, 22.75330155, 3, 3.189189189189189, 6885978.722448602
1693, 113.8927493, 22.76804691, 5, 6.378378378378378, 8974250
971, 114.2262933, 22.68804049, 6, 7.441441441441442, 8042814
471, 114.1042953, 22.54730183, 5, 6.378378378378378, 5848268.7909543365
1549, 114.3833801, 22.69048805, 3, 3.189189189189189, 7646962.949999999
46, 113.8409704, 22.62437861, 3, 3.189189189189189, 3865212
777, 114.1042953, 22.54730183, 3, 3.189189189189189, 5848268.7909543365
219, 114.5769004, 22.49474317, 1, 1.063063063063063, 1153541
42, 113.977303, 22.72436538, 3, 3.189189189189189, 10497200
1914, 114.0254399, 22.71858525, 6, 6.378378378378378, 1.2618227092119958E8
1898, 113.8341494, 22.62683087, 3, 3.189189189189189, 5332640
491, 113.968556, 22.69827316, 3, 3.189189189189189, 1.648480719540781E7
1014, 114.1308154, 22.58008543, 4, 3.189189189189189, 3486870
1613, 114.0430529, 22.56731939, 3, 3.189189189189189, 4779504
35, 114.02826, 22.65797554, 12, 9.567567567567568, 11160310
1389, 114.0624633, 22.53793854, 3, 3.189189189189189, 3307080
1524, 113.9853128, 22.56103544, 6, 7.441441441441442, 4051944
1208, 113.8336617, 22.63291191, 3, 3.189189189189189, 11206140
1746, 114.1306793, 22.70066274, 3, 4.252252252252252, 1.0939677190399535E8
197, 114.2246614, 22.68177281, 3, 3.189189189189189, 7614648
1510, 114.0832859, 22.57238701, 3, 3.189189189189189, 4383756
422, 114.3059153, 22.67750201, 3, 3.189189189189189, 1.350703728E7
1431, 113.8830576, 22.78228449, 3, 3.189189189189189, 4184544
2049, 113.8546887, 22.58178721, 3, 3.189189189189189, 3702100.7544598156
1027, 114.0984549, 22.56231854, 9, 6.378378378378378, 5353776
1588, 114.1209736, 22.57481572, 3, 3.189189189189189, 1996440
1928, 114.0981703, 22.53641136, 3, 3.189189189189189, 5201784
1212, 114.0946258, 22.54159553, 3, 3.189189189189189, 8657426.4769556
740, 114.0946258, 22.54159553, 3, 3.189189189189189, 8657426.4769556
