schools-ID,x-coordinate,y-coordinate,Num-student
303, 113.902914, 22.57945258, 3
1332, 114.0822549, 22.73675821, 1
2, 114.1104524, 22.61226424, 3
1875, 114.3828337581422, 22.698702820126364, 0
1, 114.0638116, 22.62506178, 6
342, 113.9669992, 22.62448305, 6
727, 114.3438534, 22.69361242, 1
624, 113.9385719, 22.80087984, 2
320, 113.9174411, 22.67537261, 0
187, 113.9931461, 22.59076455, 4
887, 114.2991779, 22.60372363, 0
322, 114.4104095, 22.63463372, 4
173, 114.398595, 22.63845821, 6
1066, 114.2556107, 22.72949293, 2
54, 113.9555361, 22.74191087, 5
731, 114.3925853, 22.75308999, 1
724, 114.2837084, 22.66742362, 1
10, 113.9034759, 22.75829947, 9
91, 114.215309, 22.55993819, 5
1, 114.0827477, 22.55702068, 4
456, 113.9124134, 22.52461822, 0
1838, 113.91351785161332, 22.585719350443682, 0
588, 114.2966103, 22.77149272, 2
15, 113.8092739, 22.70581523, 4
1138, 114.1497555, 22.65411804, 1
365, 114.1222053, 22.69299894, 16
1857, 114.42194347476178, 22.690011777048856, 3
871, 114.0712981, 22.54529076, 1
279, 113.9155133, 22.48848743, 4
590, 114.2819536, 22.73405987, 3
308, 113.8425135, 22.76298319, 1
1870, 114.33720582016966, 22.716084892915845, 14
889, 114.309566, 22.60244741, 0
1240, 114.0299173, 22.63171636, 3
1407, 114.0459065, 22.56872832, 0
1074, 114.230581, 22.71710663, 0
