HID,Long1,Lat1,Long2,Lat2,marriage,divorce,birth,death,work,education,immigration
5388,114.0882765,22.54957863,114.2215604,22.73269285,0,0,0,0,0,0,0
1892,113.8573938,22.55802078,113.9081022,22.57355042,0,0,0,0,0,0,0
3450,114.0684466,22.57172139,113.8998904,22.580372,0,0,0,0,1,0,0
5526,113.8579814,22.62330717,114.2088018,22.72854125,0,0,0,0,0,0,0
662,113.9299459,22.74871131,114.2469667,22.71532731,0,0,0,0,0,2,0
3523,114.1278678,22.55997049,114.2378371,22.71639645,0,0,0,0,0,0,0
5065,114.0236514,22.62886945,114.0380729,22.65203364,0,0,0,0,0,0,0
1083,113.9863711,22.5576736,114.0729145,22.65192979,0,0,0,0,0,0,0
4960,113.9607166,22.59511919,114.1017011,22.63294473,0,0,0,0,0,0,0
3106,114.1199951,22.58974927,114.0380729,22.65203364,0,0,0,0,1,5,0
2933,114.1335832,22.62485819,114.2021686,22.69935561,0,0,0,0,0,0,0
1091,114.0532998,22.51270835,114.2351148,22.69717051,0,0,0,0,0,0,0
7725,113.93089991770529,22.516191087827522,113.8282306,22.78595423,0,0,0,0,0,0,0
440,113.8728022,22.55872702,113.9634112,22.54448132,0,0,0,0,0,0,0
911,114.0018187,22.5381909,114.08516576527818,22.544436948647373,0,0,0,0,1,0,0
4824,113.94176371319222,22.52922763794159,114.024742,22.65777296,0,0,0,0,0,0,0
1518,113.8845256,22.55733132,113.9218497,22.53599972,0,0,0,0,0,0,0
553,114.2341293,22.73357275,114.2367467,22.72324864,0,0,0,0,0,0,0
336,114.0650394,22.5727667,113.817215,22.77157357,0,0,0,0,4,0,0
1901,113.922349,22.50495552,113.902988,22.51856299,0,0,0,0,0,0,0
7395,114.1335832,22.62485819,113.8594394,22.61901935,0,0,0,0,0,0,0
1651,114.0166391,22.71416863,113.8909863,22.77584712,0,0,0,0,1,0,0
2861,114.0884063,22.54678497,114.1017011,22.63294473,0,0,0,0,0,0,0
2361,113.9216868,22.50154896,114.1255815,22.54376704,0,0,0,0,0,0,0
7610,113.9105138,22.58366547,113.8154939,22.76043031,0,0,0,0,0,0,0
6743,113.8886117,22.77684509,114.2088018,22.72854125,0,0,0,0,0,0,0
7493,113.8485196,22.57678478,113.8573938,22.55802078,0,0,0,0,0,0,0
6038,113.8417555,22.60541168,114.2021686,22.69935561,0,0,0,0,0,7,0
5074,113.9212985,22.52115787,113.8909863,22.77584712,0,0,0,0,1,8,0
2043,113.8624756,22.5662248,114.2472049,22.71845507,0,0,0,0,0,7,0
7792,113.8897867,22.58338662,113.8573938,22.55802078,0,0,0,0,0,0,0
3325,114.4039807,22.64005942,114.121452,22.60815958,0,0,0,0,0,0,0
4835,113.8511874,22.57309821,113.8594394,22.61901935,0,0,0,0,0,0,0
2348,113.8847797,22.57238172,113.9196572,22.51147003,0,0,0,0,0,0,0
6631,113.8593418,22.62832393,114.0634647,22.71861803,0,0,0,0,0,0,0
7444,114.2146226,22.73517897,114.135555,22.60315924,0,0,0,0,0,0,0
