people-ID,livelong,livelat,wslong,wslat
15618, 114.331894, 22.68824122, 113.981697, 22.54120672
15586, 113.9126704, 22.50856739, 113.8997737, 22.51209673
2540, 114.144408, 22.61981457, 114.1386037, 22.69709143
16683, 113.9027451, 22.55591932, 114.0416572, 22.55046084
17281, 114.0909507, 22.57035482, 114.08199, 22.55050255
3338, 114.2367467, 22.72324864, 114.2781637, 22.66588492
6082, 114.2288876, 22.70270774, 114.2343043, 22.70104064
13675, 113.8522069, 22.6141377, 114.3403352, 22.679758
4784, 113.8522069, 22.6141377, 114.2469077, 22.56876552
14438, 114.2326329, 22.56220142, 114.2265682, 22.55383255
15113, 113.8270988, 22.77309735, 113.8753606, 22.79077999
25577, 113.9032597, 22.77940868, 113.9102712, 22.54288065
5569, 113.8493022, 22.59437716, 114.2321472, 22.55462274
16639, 114.1172407, 22.63049964, 114.3477684, 22.70603955
7390, 114.0363037, 22.71443239, 114.038641, 22.70807234
9441, 114.1277981, 22.58868764, 114.1172224, 22.59546438
5756, 113.8963327, 22.58379126, 114.0024811, 22.53454229
8881, 114.2307736, 22.72322821, 114.3010177, 22.69533633
4899, 114.0060361, 22.64477552, 114.0083499, 22.63529777
12326, 113.8960551, 22.5573764, 113.8594129, 22.76057567
8182, 113.8143349, 22.69694457, 113.8897551, 22.77264868
15440, 114.2215604, 22.73269285, 114.4705804, 22.59544343
1177, 114.0191951, 22.54249579, 114.0344991, 22.52931257
17462, 114.1092472, 22.58454536, 114.1039334, 22.59992917
16170, 113.9235876, 22.4942459, 113.9176323, 22.4970986
13460, 113.8443979, 22.60607457, 114.472795, 22.59189006
6005, 113.8963327, 22.58379126, 113.968556, 22.69827316
4172, 113.8577667, 22.58392266, 113.8935651, 22.72020837
10860, 114.0430051, 22.67646734, 114.0339804, 22.67824772
13744, 114.1183316, 22.56107544, 114.1322658, 22.5469765
5802, 114.0496003, 22.59798946, 114.0503917, 22.5948486
4940, 114.0283921, 22.6298931, 114.1132982, 22.57428937
25725, 113.9156862, 22.52466374, 114.3385519, 22.75543252
14205, 113.8288835, 22.685504, 113.8010083, 22.730082
824, 113.8957434, 22.53233885, 113.9102712, 22.54288065
16540, 114.0386285, 22.55495065, 114.0431905, 22.55531317
8518, 114.2164448, 22.72955162, 113.8931278, 22.78134163
15320, 114.1171629, 22.58668779, 114.1082115, 22.57611145
14408, 114.011517, 22.53943617, 114.0020024, 22.54751793
548, 113.9040543, 22.57707871, 113.9187309, 22.57620516
15622, 114.2025724, 22.7228733, 114.1469336, 22.6788307
11451, 114.3066555, 22.67607433, 114.3268399, 22.66954748
15287, 114.0417775, 22.61856082, 114.053813, 22.57336402
