residences-ID,x-coordinate,y-coordinate,House-price,House-rent,capacity
888, 114.131942, 22.56673905, 2069490, 42955, 0
729, 114.0966175, 22.55546143, 2698723, 90157, 2
1432, 113.9029163, 22.57014649, 3238638, 61605, 0
545, 114.2819348, 22.73821424, 1206102, 19026, 0
1167, 113.9337469, 22.52261679, 3088101, 105569, 0
334, 113.9940942, 22.66668585, 1758436, 33180, 0
10, 113.9420238, 22.52313946, 3850022, 147389, 0
1410, 114.0397387, 22.53194191, 2857649, 59006, 0
556, 114.0480173, 22.51930582, 2511774, 67999, 1
324, 113.9294287, 22.54876079, 2640368, 90432.10942467033, 5
782, 114.0560703, 22.51722626, 2523840, 47174.04985706907, 0
1293, 114.012641, 22.54062423, 3001271, 112423.92366832877, 2
1149, 114.2704605, 22.74908238, 1435004, 22157, 0
896, 113.8517805, 22.77494241, 1830590, 35777, 0
1246, 113.9304681, 22.48321564, 3452865, 111247, 2
701, 114.028049, 22.56061592, 2179853, 53529, 0
685, 113.9358056, 22.51703336, 7109401, 282609.64674590965, 6
805, 114.0021078, 22.55103737, 4785035, 124131.56791657543, 0
365, 114.1467551, 22.61262755, 1070056, 17374, 0
1391, 113.9552755, 22.57637077, 3527571, 86254, 1
77, 114.2232146, 22.68026417, 1360875, 22426, 0
491, 114.2847063, 22.61727035, 1901390, 37560, 0
1436, 114.1085199, 22.56635246, 2231788, 39413, 0
663, 113.880545, 22.56089154, 2376178, 100238.14440611725, 20
59, 114.2483577, 22.72462565, 1083868, 18323, 0
1470, 114.0483532, 22.57083058, 2167631, 48114, 0
1441, 113.9435859, 22.52897713, 3766558, 118058.2927455801, 1
1020, 114.1076893, 22.61655363, 1250333, 21131, 0
1168, 114.2172382, 22.55800213, 1909702, 29347, 0
323, 114.0976528, 22.53908736, 2518396, 44771, 1
0, 113.94828195818064, 22.55095522046267, 3679646, 117263.53875363184, 13
268, 113.8634262, 22.60339678, 1624492, 33997, 0
113, 114.1234008, 22.62789153, 1752985, 30840, 0
1474, 114.0354747, 22.52564391, 2172006, 43983.66658, 0
185, 114.1081865, 22.54774988, 2549552, 45254, 1
772, 114.2304546, 22.72647858, 1428898, 27075, 0
32, 114.0030935, 22.55296292, 3460772, 108473.75412802392, 1
145, 114.1022167, 22.54203109, 2680558, 43729, 0
1179, 114.0000969, 22.53806975, 2525283, 57294, 0
1119, 114.1346242, 22.56420859, 2119303, 36626, 0
453, 114.0147607, 22.54623141, 3397366, 115264.35668922533, 1
1133, 113.8130641, 22.77413682, 2007903, 28581, 0
1371, 113.9519058, 22.54701975, 3762729, 130213.3620170558, 5
620, 113.9317283, 22.49017464, 2585596, 69227, 0
1357, 114.0051472, 22.55061219, 3506282, 77586.0921201301, 0
305, 114.1190419, 22.62508865, 1480559, 25804, 0
1382, 114.0044968, 22.55502232, 3085429, 113891, 2
707, 113.9367698, 22.75570779, 1793589, 40261, 4
391, 114.1284211, 22.58563509, 2301164, 54177, 0
996, 113.912992, 22.5348174, 2550191, 67459.13613418474, 2
549, 114.0126279, 22.63442864, 2178840, 73691, 0
195, 113.9062106, 22.53650882, 2598258, 64785.719422350114, 0
1156, 114.2260265, 22.73332349, 1917297, 32124, 0
501, 114.1184995, 22.5441583, 1559870, 33964, 0
119, 114.2154046, 22.5589463, 1921169, 32403, 0
1461, 113.9947671, 22.59160367, 2146076, 78410, 5
41, 114.2378371, 22.71639645, 1474107, 25815, 0
0, 113.94828199271926, 22.550955221397317, 3200427, 116425.68647506718, 12
1188, 113.9439269, 22.55312777, 3167962, 82206.59488186726, 1
0, 113.95045472423529, 22.54878246673411, 3855876, 117233.15364332817, 18
469, 114.0719223, 22.66166336, 2041770, 32850, 0
1115, 114.0836915, 22.54464969, 2202516, 42282, 0
654, 114.2278932, 22.55791128, 1427395, 26510, 0
