HID,Long1,Lat1,Long2,Lat2,marriage,divorce,birth,death,work,education,immigration
7707,113.8289193,22.71956443,113.8828341,22.76829712,0,0,0,0,1,0,0
894,113.8865032,22.57412312,114.2579837,22.68510514,0,0,0,0,0,5,0
1957,113.9299459,22.74871131,114.136865,22.62534243,0,0,0,0,1,1,0
7783,113.8289193,22.71956443,113.8016913,22.72411911,0,0,0,0,2,0,0
1349,113.8922297,22.54960966,113.9131858,22.54233207,0,0,0,0,0,5,0
6916,113.8464461,22.59849596,113.8777133,22.59947878,0,0,0,0,0,0,0
999,113.848971,22.61149351,114.3348848,22.68106926,0,0,0,0,0,0,0
1427,113.8485196,22.57678478,113.8832089,22.78014068,0,0,0,0,0,2,0
951,113.9383125,22.57746684,114.1340787,22.550601,0,0,0,0,1,0,0
1036,114.1086432,22.61121413,114.1125384,22.59592024,0,0,0,0,0,0,0
7091,113.8677722,22.56190042,113.8832089,22.78014068,0,0,0,0,0,0,0
2409,113.8591147,22.57989424,114.310415,22.67057615,0,0,0,0,0,1,0
417,113.883369,22.59400215,113.8270988,22.77309735,0,0,0,0,0,1,0
7252,113.8865032,22.57412312,114.4162602,22.63603056,0,0,0,0,0,0,0
879,114.0858786,22.55626271,114.0836915,22.54464969,0,0,0,0,0,5,0
7354,113.8746316,22.55197004,114.0635426,22.61827732,0,0,0,0,0,0,0
3388,113.880545,22.56089154,113.8936399,22.76805679,0,0,0,0,1,0,0
4057,113.8839037,22.48167429,114.1695198,22.56610274,0,0,0,0,2,7,0
7253,114.1099815,22.53958395,114.025815,22.64293203,0,0,0,0,1,0,0
7711,113.8875092,22.5816675,114.1145233,22.54489976,0,0,0,0,1,0,0
518,114.1103547,22.53694276,114.2398126,22.73337579,0,0,0,0,1,1,0
7641,113.8919984,22.56474909,113.890645,22.57484146,0,0,0,0,1,0,0
3563,113.9969301,22.643064,114.0039703,22.63806732,0,0,0,0,0,0,0
687,113.9206787,22.50698449,113.9140583,22.49114579,0,0,0,0,0,0,0
611,114.054181,22.59691261,114.037073,22.61509883,0,0,0,0,0,0,0
3577,113.92003611944489,22.505327288245322,113.8988418,22.56670695,0,0,0,0,0,0,0
4213,113.9519058,22.54701975,113.92003610177481,22.505327288990607,0,0,0,0,2,7,0
282,113.8539062,22.57822354,114.0541074,22.62697383,0,0,0,0,0,0,0
3284,113.8886117,22.77684509,114.2202649,22.67212728,0,0,0,0,0,4,0
1170,113.8746316,22.55197004,114.0843588,22.56470925,0,0,0,0,0,2,0
1946,113.8746316,22.55197004,113.9194252,22.55198723,0,0,0,0,0,1,0
7622,113.8289193,22.71956443,114.0193574,22.63674828,0,0,0,0,0,0,0
