OBs-ID,x-coordinate,y-coordinate,ob-price,capacity
557, 114.4981704, 22.56843849, 418618.35103335127, 1
940, 113.9800439, 22.55948125, 668196, -1
617, 113.8617589, 22.57155632, 376195.12697552424, 2
149, 114.2717263, 22.58856211, 514192, -2
605, 113.9945542, 22.65716514, 491414.86099537095, 2
374, 114.2642798, 22.72773757, 497430, -1
734, 114.2252403, 22.63378122, 302977.9621828035, 1
935, 114.2477237, 22.74951701, 413855.7394455568, 0
433, 113.8394428, 22.80603833, 801966, -1
250, 113.8744093, 22.58226338, 1188144, 0
434, 113.9887725, 22.6637733, 499914.2099432058, 1
208, 114.072443, 22.6488278, 325962.2870980272, 1
260, 113.8519206, 22.76363961, 917763, 0
148, 113.9321561, 22.78251295, 1156470, -1
30, 113.9066391, 22.487531, 240868.4794518204, 1
118, 114.3072888, 22.67023618, 1185327, -3
295, 113.9894251, 22.73620886, 857324, -1
635, 114.0624633, 22.53793854, 1102360, -2
908, 113.9387369, 22.76682196, 1224564, -1
11, 114.0658046, 22.54474181, 995571, -1
889, 114.1331767, 22.5485137, 986700, -1
156, 114.3300158, 22.79799438, 1171368, 0
893, 113.8339415, 22.60167939, 543438.7930042007, 1
62, 113.9366485, 22.52943032, 1150056, -2
633, 113.8336617, 22.63291191, 1120614, -2
154, 113.9811375, 22.55455443, 1249488, -2
690, 113.9180058, 22.51905186, 1030378, -2
809, 114.1422694, 22.60791832, 615438, -7
967, 113.8603881, 22.78971246, 698717, 0
132, 113.9805994, 22.70188376, 1255178, -1
470, 113.980651, 22.70610151, 845100, -3
773, 113.9355346, 22.68900164, 783405, -2
394, 114.0534658, 22.64360118, 757186.6828384238, 2
530, 114.1298599, 22.57173101, 1178928, -2
838, 113.8759726, 22.80667899, 818090.2042977513, 1
334, 113.7871258, 22.74874071, 242900.0631581577, 1
658, 113.9608753, 22.57413413, 240414.9990040647, 1
667, 114.3038386, 22.71690076, 254066.14292938216, 2
797, 114.0079791, 22.60133834, 879390, -2
170, 114.0387436, 22.65086843, 480394.15723749995, 1
923, 113.8471295, 22.77254999, 486144, -2
601, 114.0346794, 22.67231938, 169747.06646427212, 0
356, 113.9307782, 22.54961563, 1281865, 0
