HID,Long1,Lat1,Long2,Lat2,marriage,divorce,birth,death,work,education,immigration
1721,113.9383125,22.57746684,114.2325571,22.70186294,0,0,0,0,0,1,0
902,113.8678879,22.5713629,114.3062945,22.60154936,0,0,0,0,0,1,0
1982,113.8746316,22.55197004,114.0493693,22.63206898,0,0,0,0,0,2,0
889,113.8922297,22.54960966,114.1258456,22.70170658,0,0,0,0,0,4,0
736,114.03878,22.60185337,113.8832089,22.78014068,0,0,0,0,0,2,0
364,114.0755723,22.65681014,114.2256146,22.69747644,0,0,0,0,0,2,0
739,113.9256338,22.51572657,114.2713839,22.59147039,0,0,0,0,0,2,0
615,113.9299459,22.74871131,114.2702516,22.69388022,0,0,0,0,0,2,0
1647,113.8236042,22.71840044,113.9303098,22.75153761,0,0,0,0,0,4,0
1525,113.8522069,22.6141377,114.2306448,22.56149473,0,0,0,0,0,3,0
959,113.8678879,22.5713629,114.0436235,22.56713422,0,0,0,0,0,3,0
2373,113.8288835,22.685504,113.8225198,22.68462413,0,0,0,0,0,3,0
305,113.9299459,22.74871131,114.2228789,22.55547241,0,0,0,0,0,4,0
639,114.0327179,22.56052807,114.2735858,22.73120711,0,0,0,0,0,1,0
2558,114.1335832,22.62485819,114.10663,22.6041483,0,0,0,0,0,4,0
1887,114.1103715,22.57717689,114.255152,22.6893383,0,0,0,0,0,3,0
2456,113.880545,22.56089154,113.8787515,22.57989058,0,0,0,0,0,4,0
1331,113.8728022,22.55872702,114.1287615,22.70342021,0,0,0,0,0,4,0
622,114.0382715,22.5323228,114.1329378,22.60950451,0,0,0,0,0,3,0
327,113.8865032,22.57412312,113.8090237,22.67096156,0,0,0,0,0,5,0
1382,114.0045131,22.64230583,114.2653662,22.72497823,0,0,0,0,0,5,0
357,113.9940942,22.66668585,114.1051182,22.56608791,0,0,0,0,0,4,0
773,113.8289193,22.71956443,114.1018588,22.62024685,0,0,0,0,0,4,0
1949,113.8522069,22.6141377,114.2247438,22.55792041,0,0,0,0,0,3,0
1243,113.8307127,22.63797102,114.0565715,22.63708957,0,0,0,0,0,4,0
403,113.8236042,22.71840044,113.8914139,22.57915155,0,0,0,0,0,1,0
1247,113.9299459,22.74871131,114.1047815,22.57994785,0,0,0,0,0,1,0
252,114.0064083,22.64803167,114.1155868,22.62877384,0,0,0,0,0,3,0
2470,114.0504754,22.52944558,114.1303614,22.56337512,0,0,0,0,0,2,0
1524,113.8505256,22.57003332,114.2190045,22.55934086,0,0,0,0,0,2,0
1900,114.1220831,22.59238119,114.3030508,22.59987324,0,0,0,0,0,1,0
2231,113.8522069,22.6141377,114.1403311,22.69914974,0,0,0,0,0,4,0
1611,113.9477232,22.53044909,114.1093755,22.60445194,0,0,0,0,0,1,0
724,114.0261157,22.63404516,114.1125384,22.59592024,0,0,0,0,0,2,0
2428,113.8522069,22.6141377,114.1116159,22.56249105,0,0,0,0,0,1,0
3533,113.8998904,22.580372,114.1085199,22.56635246,0,0,0,0,0,0,0
323,113.8511874,22.57309821,114.070886,22.57135137,0,0,0,0,0,3,0
1398,113.8826033,22.55538645,114.218795,22.55614242,0,0,0,0,0,3,0
858,113.8885816,22.57839234,114.1078266,22.5959355,0,0,0,0,0,2,0
1925,114.0239956,22.64331109,114.1099183,22.57313432,0,0,0,0,0,5,0
1838,114.3350117,22.70546672,114.1191832,22.6179681,0,0,0,0,0,2,0
273,113.9299459,22.74871131,114.0679432,22.6297239,0,0,0,0,0,4,0
2502,114.0154736,22.65448952,114.3675525,22.73932439,0,0,0,0,0,1,0
2380,114.023723,22.53002473,114.2290116,22.5464949,0,0,0,0,0,3,0
