pid,livelong,livelat
187,114.1220831,22.59238119
188,114.0212973,22.62184475
189,113.8854816,22.58430443
190,114.0424233,22.68753666
191,114.0060361,22.64477552
192,113.8846552,22.58885046
193,114.0358301,22.70436869
194,113.8347229,22.78113656
195,114.1083642,22.57636406
196,114.03878,22.60185337
197,113.890645,22.57484146
198,114.0424233,22.68753666
199,114.201737,22.70969063
200,113.8289193,22.71956443
201,113.8746316,22.55197004
202,114.0045131,22.64230583
203,113.8591147,22.57989424
204,113.9248777,22.5101007
205,114.0227262,22.66113226
206,114.021714,22.53828784
207,113.8746316,22.55197004
208,113.8197806,22.67144481
209,114.0358301,22.70436869
210,114.1037883,22.55407365
211,113.8493022,22.59437716
212,113.8511874,22.57309821
213,113.883369,22.59400215
214,113.8591147,22.57989424
215,114.1220831,22.59238119
216,113.9243591,22.73817724
217,114.0424233,22.68753666
218,113.9243591,22.73817724
219,114.0385725,22.54295442
220,113.8522069,22.6141377
221,114.1357676,22.61672765
222,114.054181,22.59691261
223,113.890645,22.57484146
224,113.8288835,22.685504
225,113.8591147,22.57989424
226,113.9195337,22.53600685
227,113.8289193,22.71956443
228,114.1657279,22.56885969
229,114.0154736,22.65448952
230,113.8746316,22.55197004
231,113.8289193,22.71956443
232,114.0173094,22.62430723
233,114.0770503,22.54085385
234,113.9072826,22.56269528
235,114.1022167,22.54203109
236,113.883369,22.59400215
237,114.0173094,22.62430723
238,113.9040543,22.57707871
239,113.9299459,22.74871131
240,113.8832089,22.78014068
241,113.8493022,22.59437716
242,113.9013736,22.55437896
243,113.8511874,22.57309821
244,114.1317115,22.59419436
245,114.0504754,22.52944558
246,113.8522069,22.6141377
247,113.8746316,22.55197004
248,114.0615065,22.56363477
249,114.0060361,22.64477552
250,114.0424233,22.68753666
251,113.8854816,22.58430443
252,114.0064083,22.64803167
253,113.9250988,22.48714364
254,113.883369,22.59400215
255,113.9248626,22.49505083
256,114.0463786,22.62462621
257,113.8593418,22.62832393
258,114.0496003,22.59798946
259,113.8865032,22.57412312
260,114.0619709,22.69241265
261,114.1762942,22.56757336
262,113.8914139,22.57915155
263,113.9517906,22.56079444
264,113.8845256,22.55733132
265,114.0151204,22.63547529
266,114.1335832,22.62485819
267,113.9243591,22.73817724
268,114.0504754,22.52944558
269,113.883369,22.59400215
270,114.03878,22.60185337
271,113.8979427,22.56079451
272,114.0476951,22.56807825
273,113.9299459,22.74871131
274,113.8289193,22.71956443
275,114.0154736,22.65448952
276,114.0654682,22.57372215
277,114.125836,22.5670098
278,114.1148137,22.54773635
279,113.8746316,22.55197004
280,113.8845256,22.55733132
281,113.8591147,22.57989424
282,114.2335782,22.55134637
283,113.8678879,22.5713629
284,113.8846552,22.58885046
285,113.8678879,22.5713629
286,113.8746316,22.55197004
287,113.8885816,22.57839234
288,113.9011316,22.78291302
289,114.0518669,22.60421052
290,114.0471928,22.53013391
291,114.0261157,22.63404516
292,114.090952,22.53891799
293,114.201737,22.70969063
294,113.8522069,22.6141377
295,114.116775,22.57874888
296,113.9299459,22.74871131
297,113.8289193,22.71956443
298,113.8361658,22.64005263
299,114.041099,22.60560235
300,114.1335832,22.62485819
301,113.883369,22.59400215
302,114.054181,22.59691261
303,113.9013839,22.5753663
304,113.8746316,22.55197004
305,113.9299459,22.74871131
306,113.8885816,22.57839234
307,113.8455531,22.62289282
308,114.0424233,22.68753666
309,114.0518669,22.60421052
310,113.8577667,22.58392266
311,113.8016913,22.72411911
312,114.1198132,22.5804568
313,114.0908567,22.56083649
314,114.0154736,22.65448952
315,113.8678879,22.5713629
316,114.0173094,22.62430723
317,114.2221366,22.6951384
318,113.8505256,22.57003332
319,114.3350117,22.70546672
320,113.8288835,22.685504
321,114.0986663,22.57202525
322,114.1220831,22.59238119
323,113.8511874,22.57309821
324,113.9243591,22.73817724
325,113.8288835,22.685504
326,114.2096575,22.69814443
327,113.8865032,22.57412312
328,113.8678879,22.5713629
